molecule_chembl_id,canonical_smiles,standard_value,pIC50,NumAromaticRings,LogP,MolecularWeight,NumHDonors,NumHAcceptors
CHEMBL4205954,O=C(Nc1ccc2c(c1)CN(C(=O)c1ccccc1)C(=O)C2)c1cccc(Cl)c1,0.01323,10.878440155812498,3,4.317400000000003,404.8530000000002,1,3
CHEMBL4209803,Cc1cccc(C(=O)Nc2ccc3c(c2)CN(C(=O)c2cccc(C)c2)C(=O)C3)c1,0.01352,10.869023308394382,3,4.280840000000002,398.46200000000016,1,3
CHEMBL4217663,O=C(Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2)c1cccc(Cl)c1,0.01415,10.84924356013969,3,4.970800000000003,439.2980000000001,1,3
CHEMBL4210316,Cc1cccc(C(=O)N2Cc3cc(NC(=O)c4cccc(Cl)c4)ccc3CC2=O)c1,0.01441,10.841336019186011,3,4.625820000000004,418.8800000000001,1,3
CHEMBL4214430,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2,0.01672,10.776763726897002,3,4.326000000000004,434.8790000000002,1,4
CHEMBL4213253,COc1ccccc1C(=O)N1Cc2cc(NC(=O)c3ccccc3)ccc2CC1=O,0.01893,10.722849386036204,3,3.672600000000002,400.4340000000001,1,4
CHEMBL225567,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.02,10.698970004336019,4,6.969600000000006,503.0900000000003,3,3
CHEMBL225198,O=C(CCc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.02,10.698970004336019,4,7.359700000000006,517.1170000000003,3,3
CHEMBL1083983,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,0.02,10.698970004336019,4,6.316200000000006,468.6450000000003,3,3
CHEMBL4214707,Cc1cccc(C(=O)Nc2ccc3c(c2)CN(C(=O)c2cccc(Cl)c2)C(=O)C3)c1,0.02094,10.679023322657176,3,4.625820000000004,418.88000000000017,1,3
CHEMBL4210041,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1ccccc1OC)C(=O)C2,0.02158,10.665948559653108,3,3.6812000000000022,430.4600000000002,1,5
CHEMBL4205144,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1cccc(C)c1)C(=O)C2,0.02592,10.586365002801445,3,3.9810200000000027,414.4610000000002,1,4
CHEMBL4218191,Cc1cccc(C(=O)N2Cc3cc(NC(=O)c4ccccc4)ccc3CC2=O)c1,0.02621,10.5815329790534,3,3.9724200000000023,384.4350000000001,1,3
CHEMBL3585775,COc1ccccc1C(C)NS(=O)(=O)NC(=O)OCc1ccccc1,0.02685,10.571055709964426,2,2.5170000000000003,364.4230000000001,2,5
CHEMBL3585780,COc1ccccc1C(C)NS(N)(=O)=O,0.02685,10.571055709964426,1,0.5493000000000001,230.289,2,3
CHEMBL3585784,COc1cccc(OC)c1C(C)NS(N)(=O)=O,0.02685,10.571055709964426,1,0.5579000000000001,260.315,2,4
CHEMBL3585781,COc1ccc(C(C)NS(N)(=O)=O)cc1,0.02685,10.571055709964426,1,0.5493000000000001,230.289,2,3
CHEMBL3585778,COc1ccc(OC)c(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)c1,0.02685,10.571055709964426,2,2.5256000000000007,394.4490000000002,2,6
CHEMBL3585783,COc1ccc(OC)c(C(C)NS(N)(=O)=O)c1,0.02685,10.571055709964426,1,0.5579000000000003,260.315,2,4
CHEMBL3585779,COc1cccc(OC)c1C(C)NS(=O)(=O)NC(=O)OCc1ccccc1,0.02685,10.571055709964426,2,2.5256000000000007,394.4490000000001,2,6
CHEMBL3585777,COc1ccc(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)cc1OC,0.02685,10.571055709964426,2,2.5256000000000007,394.4490000000001,2,6
CHEMBL3585782,COc1ccc(C(C)NS(N)(=O)=O)cc1OC,0.02685,10.571055709964426,1,0.5579000000000003,260.315,2,4
CHEMBL3585776,COc1ccc(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)cc1,0.02685,10.571055709964426,2,2.5170000000000003,364.42300000000006,2,5
CHEMBL4208866,O=C(Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2)c1ccccc1,0.02836,10.54729377348897,3,4.317400000000003,404.8530000000001,1,3
CHEMBL4209518,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1ccccc1)C(=O)C2,0.02938,10.531948208545762,3,3.672600000000002,400.43400000000014,1,4
CHEMBL2019048,COc1cc(O)c2c(=O)cc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)oc2c1.Cl,0.035,10.455931955649724,4,7.972100000000006,642.6240000000001,3,7
CHEMBL372202,COc1ccc2[nH]cc(CCNC(=O)CCCCCCNc3c4c(nc5cc(Cl)cc(Cl)c35)CCCC4)c2c1,0.04,10.397940008672037,4,7.631600000000007,567.561,3,4
CHEMBL54126,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-],0.043,10.366531544420413,1,-1.052299999999998,303.19999999999993,0,2
CHEMBL1083984,O=C(CCc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,0.06,10.221848749616356,4,6.706300000000006,482.67200000000037,3,3
CHEMBL225198,O=C(CCc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.06,10.221848749616356,4,7.359700000000006,517.1170000000003,3,3
